,visits_pred,visits_truth,visits_error,zone,date,new_visits_pred,new_visits_truth,new_visits_error,recurrents_pred,recurrents_truth,recurrents_error,visitors_unique_pred,visitors_unique_truth,visitors_unique_error
102,13419.01451887345,13237.0,1.3750435814266795,mercado_delicias,2023-09-12,671.9060168141446,687.0,2.197086344374884,7680.582721709681,8181.0,6.116822861390035,8948.927688952503,8868.0,0.9125810662212748
103,13282.622079184275,13237.0,0.3446557315424583,mercado_delicias,2023-09-12,669.5139529955746,687.0,2.545276128737316,7742.203551268843,8181.0,5.363604067120858,8926.340906248714,8868.0,0.6578812161559935
104,12908.864321742749,13237.0,2.4789278405775566,mercado_delicias,2023-09-12,664.5309408072909,687.0,3.2706054137858946,7763.209434310402,8181.0,5.1068398201882195,8774.243230527525,8868.0,1.0572481898113988
105,12724.795416318697,13237.0,3.8694914533603013,mercado_delicias,2023-09-12,666.9628027045859,687.0,2.9166226048637705,7771.266966136306,8181.0,5.008349026570027,8685.972749381875,8868.0,2.052630250542676
106,12605.796637325015,13237.0,4.768477469781562,mercado_delicias,2023-09-12,669.6163473920644,687.0,2.5303715586514666,7775.196465954799,8181.0,4.960317003363899,8624.719157147621,8868.0,2.7433563695577194
107,12648.430839913957,13237.0,4.446393896547879,mercado_delicias,2023-09-12,669.5697875801943,687.0,2.5371488238436224,7777.809918041006,8181.0,4.928371616660478,8628.227651145213,8868.0,2.703792837785151
100,2325.906002177302,2304.935185185185,0.9098224161314972,plaza_justicia,2023-09-11,395.0984089503775,407.47222222222223,3.0367255967442195,1609.5770201359246,1597.9907407407406,0.7250529743253208,2015.5865371273267,2005.462962962963,0.504799856757593
101,2232.273982146381,2304.935185185185,3.152418493406197,plaza_justicia,2023-09-11,397.83980317062816,407.47222222222223,2.3639449577843514,1604.8962550415674,1597.9907407407406,0.43213731624163,2010.018507890365,2005.462962962963,0.22715677185438785
102,2262.6610161985823,2304.935185185185,1.8340719191722743,plaza_justicia,2023-09-12,409.3545059842155,407.47222222222223,0.46194161450513344,1602.978229961487,1597.9907407407406,0.3121100200139056,2007.8550692057834,2005.462962962963,0.11927950238911972
103,2301.335682275019,2304.935185185185,0.15616503810180668,plaza_justicia,2023-09-12,416.3903109279791,407.47222222222223,2.188637217310297,1602.192285755004,1597.9907407407406,0.26292674338749106,2010.357485357826,2005.462962962963,0.2440594758046027
104,2285.269278655104,2304.935185185185,0.8532086566460833,plaza_justicia,2023-09-12,417.4772919259147,407.47222222222223,2.4553992046692272,1601.8702314179052,1597.9907407407406,0.24277303855754642,2010.336919920337,2005.462962962963,0.24303400498471636
105,2255.7283486718343,2304.935185185185,2.134846863791422,plaza_justicia,2023-09-12,419.36921016749994,407.47222222222223,2.9197052698206947,1601.7382640400829,1597.9907407407406,0.23451470673760436,2010.0076333717686,2005.462962962963,0.22661452705619065
106,2293.466339971361,2304.935185185185,0.49757777518168744,plaza_justicia,2023-09-12,421.7880710787538,407.47222222222223,3.5133312348158405,1601.6841881069154,1597.9907407407406,0.2311307113370785,2010.2087980389983,2005.462962962963,0.23664536137947803
